"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayer Leverkusen";15;13;2;0;39;10;41;35.43;31.64;12.48;12.48;19.16;12.47;17.58;181;73;34.7
2;"VfB Stuttgart";15;11;3;1;35;14;36;31.49;30.73;21.27;19.76;10.98;11.29;18.51;159;77;27.38
3;"RasenBallsport Leipzig";15;9;5;1;35;13;32;32.17;30.65;18.02;16.5;14.15;13.1;14.16;132;99;29.26
4;"Borussia Dortmund";15;8;3;4;28;17;27;29.71;28.19;22.97;22.97;5.22;12.39;16.34;137;91;24.44
5;"Bayern Munich";15;8;1;6;38;27;25;37.93;36.41;17.96;17.2;19.22;11.04;17.69;177;87;30.34
6;"Mainz 05";16;6;6;4;25;21;24;30.1;28.58;26.58;25.06;3.52;10.18;9.59;102;115;26.09
7;"Hoffenheim";15;6;3;6;31;29;21;23.59;23.59;29.96;29.2;-5.61;13.29;14.24;109;138;18.51
8;"FC Heidenheim";15;4;7;4;22;20;19;18.69;18.69;23.88;23.88;-5.19;14.59;9.96;71;121;16.93
9;"Werder Bremen";15;5;4;6;20;22;19;21.81;20.29;27.34;25.82;-5.53;13.46;10.63;94;133;17
10;"Augsburg";15;5;3;7;22;24;18;20.61;19.85;27.83;24.8;-4.95;10.42;11.32;138;105;16.01
11;"Eintracht Frankfurt";15;3;7;5;21;28;16;25.35;24.59;24.77;20.22;4.37;12.8;14.88;132;82;21.64
12;"Union Berlin";16;4;4;8;15;26;16;19.94;17.58;25.33;23.81;-6.23;14.13;10.13;82;132;18.49
13;"Wolfsburg";15;4;3;8;18;26;15;19.77;19.01;19.53;18.02;0.99;14.03;11.52;100;99;19.9
14;"FC Cologne";15;3;6;6;16;26;15;22.2;19.93;26.58;25.82;-5.89;12.74;9.29;64;147;17.97
15;"Freiburg";15;3;5;7;20;27;14;21.55;18.52;27.72;26.12;-7.6;16.89;11.29;82;109;17.8
16;"Borussia M.Gladbach";15;2;7;6;21;29;13;23.01;21.49;25.46;24.7;-3.21;14.72;12.5;96;131;19.23
17;"Bochum";15;3;4;8;21;37;13;22.79;22.03;32.3;29.27;-7.23;8.41;9.06;91;127;15.68
18;"Darmstadt";15;1;3;11;8;39;6;13.57;13.57;39.73;39.73;-26.17;16.95;11.57;88;169;8.51
