"number";"team";"matches";"wins";"draws";"loses";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayer Leverkusen";19;15;4;0;50;14;49;46.58;44.31;19.95;19.95;24.36;12.86;18.79;263;102;41.47
2;"Bayern Munich";19;15;2;2;56;18;47;56.47;54.2;17.27;15;39.2;11.24;16.71;262;100;46.65
3;"VfB Stuttgart";19;12;1;6;43;25;37;47.5;42.05;21.23;20.47;21.58;11.53;16.38;188;91;42.12
4;"Borussia Dortmund";19;10;6;3;40;26;36;41.46;38.43;32.3;27.61;10.82;12.69;13.43;175;157;32.43
5;"RasenBallsport Leipzig";19;10;3;6;42;26;33;40.46;36.67;25.24;22.96;13.71;12.11;15.76;170;89;34.95
6;"Eintracht Frankfurt";19;8;7;4;30;22;31;26.29;24.77;30.49;26.56;-1.78;13.89;13.94;132;142;24.41
7;"Freiburg";19;8;4;7;25;31;28;30.95;27.16;30.84;28.56;-1.4;15.72;13.92;109;158;26.46
8;"Hoffenheim";19;7;4;8;35;37;25;32.66;28.11;36.47;33.44;-5.33;13.43;12.8;135;184;24.06
9;"Werder Bremen";19;6;5;8;28;32;23;25.29;22.14;33.76;30.73;-8.6;14.23;12.18;135;168;21.43
10;"FC Heidenheim";19;6;5;8;28;35;23;23.89;21.62;42.22;34.51;-12.89;14.85;10.74;84;186;16.31
11;"Wolfsburg";19;6;4;9;23;30;22;24.23;22.58;30.34;29.58;-7;13.13;13.26;130;124;22.9
12;"Borussia M.Gladbach";19;5;6;8;35;38;21;28.8;25.77;37.04;33.25;-7.48;17.02;11.1;115;183;22.14
13;"Augsburg";19;5;6;8;28;36;21;28.51;23.96;34.47;29.92;-5.96;13.88;10.96;105;162;23.03
14;"Bochum";19;4;8;7;21;37;20;28.65;26.38;37.88;32.58;-6.2;10.17;10.21;122;152;23.37
15;"Union Berlin";18;5;2;11;18;32;17;24.81;22.53;31.23;27.44;-4.91;15.29;12.9;84;98;21.01
16;"FC Cologne";19;2;6;11;12;34;12;22.14;19.86;45.23;43.72;-23.85;14.16;11.56;83;149;14.65
17;"Mainz 05";18;1;8;9;14;30;11;21.58;19.31;23.94;22.42;-3.11;11.54;11.06;118;113;23.09
18;"Darmstadt";19;2;5;12;22;47;11;21;18.72;41.38;39.87;-21.15;13.27;12.94;98;150;16.13
